train_loss,validation_loss,test_loss,S1_loss,S2_loss,S3_loss
0.0015243363,0.0032259484,0.0037362392,0.0070773945,0.0023536647,0.0017776579
0.0014662901,0.002418432,0.0028391588,0.005391209,0.0013767296,0.0017495382
0.0013057007,0.0025963357,0.0032154778,0.0053458996,0.0015369053,0.002763629
0.0013546068,0.0027618057,0.0034574654,0.0066885743,0.0021529715,0.0015308502
0.0014312452,0.0025446077,0.00321572,0.0061230813,0.0013727017,0.0021513763
0.001335971,0.0025808173,0.0032595953,0.006303272,0.0014957665,0.0019797487
0.0012084326,0.0025093693,0.002924674,0.005723344,0.0014434073,0.0016072711
0.0012428092,0.0024585496,0.002905126,0.0049658604,0.0013418174,0.0024077005
0.0011813751,0.00271494,0.0031960234,0.005473686,0.0019303487,0.0021840367
0.0012715773,0.002276117,0.0028364928,0.005010202,0.0013498919,0.0021493847
0.0012806647,0.0020694914,0.0024669266,0.0046871514,0.0012991173,0.0014145109
0.0010685178,0.002601072,0.0030637146,0.005147001,0.0015774562,0.0024666875
0.0012883454,0.0023303821,0.0028515575,0.0049757147,0.0012709864,0.0023079724
0.0012330965,0.0026979917,0.003262345,0.006523074,0.0018279373,0.0014360237
0.0014045122,0.0026805212,0.003482569,0.005252106,0.0016968829,0.003498718
0.001501158,0.0032647313,0.003959085,0.0076939194,0.0029744303,0.0012089065
0.001668345,0.002976901,0.0038085463,0.006549314,0.0015584998,0.0033178243
0.0017764631,0.003592999,0.0045225145,0.009670198,0.0021509116,0.0017464344
0.0017606794,0.0021256814,0.0026440558,0.0049422253,0.0012982195,0.0016917224
0.0014294629,0.0022341923,0.0027459117,0.004548027,0.0014184235,0.0022712841
0.0011597167,0.0025367597,0.0032173928,0.0059063006,0.0019007906,0.0018450879
0.0010945426,0.002615417,0.0033019069,0.0066951932,0.001536546,0.0016739821
0.0015970827,0.0032314437,0.0038424013,0.007203476,0.0014343322,0.0028893966
0.0013494778,0.0019478339,0.0022587036,0.004041437,0.0014019897,0.001332684
0.0011133401,0.002202511,0.0027034904,0.004524122,0.0012044929,0.0023818573
